salary,age,years,beauty
0.370397114,16.666995,3.148455016,78.2514927
53.72478935,20.3470725,5.506885587,68.56998557
1.460159122,18.20307112,5.330748449,75.04375922
0.024334006,15.35626451,3.840087918,65.14252738
95.33807011,24.17183182,8.532050418,71.77038558
14.63547789,18.26022496,4.393158458,78.05223919
8.673332202,17.69860837,4.396633054,72.06816933
2.649274287,17.48589018,4.110734669,75.32744869
7.547322639,17.06953966,3.515077354,72.03374336
1.202514669,20.07688657,6.82872701,71.93138869
10.16436013,22.76917965,7.321063056,86.20371991
19.8752781,21.68823857,6.158880658,76.32068761
0.838504701,16.72428094,3.800269268,65.43777633
0.160111094,18.38795755,4.660797733,75.13173921
1.489678699,17.31924934,3.826218605,84.70344702
3.595229508,18.38006731,4.827826659,76.94419813
0.644324634,18.33266062,4.397767318,81.37624988
4.64669484,12.17059177,0.433925811,83.07884543
2.973564253,18.89093654,5.045922549,80.37354002
25.86350885,17.80244114,4.348834603,87.93203266
0.161379081,16.23687704,3.487407356,76.84809589
0.758498953,17.19504097,3.945894349,82.29596077
6.419430898,18.99113782,5.237983324,99.22141286
48.8676623,19.11450604,4.951026902,73.32626256
12.56858538,20.53821849,6.518899669,82.26453868
16.96610099,16.94019345,3.959819845,67.84138565
4.307647982,18.54992031,4.998569562,76.27179977
1.234005362,16.81234638,3.698950263,65.08966767
2.863909,16.78277812,5.235190054,73.29196029
1.527669504,18.39744192,4.609950767,77.83912282
0.149533413,16.37243661,3.621462802,61.63452748
17.76441827,23.43212054,7.271937153,70.08263534
6.125179041,17.39769484,3.517686173,92.43000484
0.092918878,19.81516817,6.137889417,89.021324
1.910440606,16.24274974,3.388829861,68.61040022
27.32945007,18.07623704,4.369767166,81.26469272
11.91726811,18.05274447,4.368048917,78.71100912
24.5853884,17.32800108,4.316360132,65.68004274
1.062363402,18.65045309,5.324668062,89.26983042
4.359975894,18.13857716,4.579832956,77.02017651
51.02516387,19.4620011,5.187274796,80.00141227
5.172849553,17.44897162,4.492482689,79.12362505
8.54978222,18.17739834,4.127260921,79.56612798
7.117570568,19.97936418,4.759227323,68.29500041
29.29430662,20.56705761,5.763240105,78.79560148
7.334331612,18.12868035,4.593015163,77.36094596
19.3773703,17.51027987,4.368817665,72.90724642
21.86553523,19.61865541,5.120778758,80.24739345
4.824773067,20.94524892,7.228657296,74.98394066
37.98638292,19.11602395,4.842350811,75.27880624
0.353461237,16.68522247,4.493530641,60.62330605
4.760366916,21.06152989,6.761267501,84.42742368
11.25082576,15.84034487,3.043058648,85.57886055
0.434779024,19.41527508,5.875514026,72.1643956
13.38525796,18.50682373,4.519939672,77.54678287
16.6840272,16.95609498,3.71811246,81.15547746
22.68143599,25.28965575,9.932157551,75.42205499
0.181707283,19.47374025,6.20914719,75.95183715
13.22563735,15.2055462,1.7282407,70.96073106
6.012428403,12.4197263,0.965666365,58.30106498
0.96402172,15.55788955,2.902047652,76.66397661
0.002395939,15.2986628,3.127912572,65.03333878
1.06635845,13.67639651,3.015283059,62.39484806
0.260037987,17.64201575,4.295561224,73.70490055
18.52550552,17.69770676,4.726955332,78.65390769
6.277020011,16.56038638,3.588269948,74.47668836
9.673410417,14.59536811,2.809915059,58.12679757
0.689105734,21.87369811,7.066864676,86.24060682
2.263933865,17.32622518,3.983295494,76.10901577
1.827789929,17.90094777,4.632748452,76.59170317
1.444184313,16.42964737,3.531761703,74.32155307
35.8510378,17.96875739,4.705563067,75.96336894
4.333066869,15.69230889,2.249540768,93.2522137
3.747556388,18.00908799,4.113554499,77.82819976
